Scopus refine results values

"Your query : (PUBYEAR > 1 AND AFFILCOUNTRY(Iran) AND DOCTYPE(ar))"


Number of results : 842359

"OPEN ACCESS",,"YEAR",,"AUTHOR NAME",,"SUBJECT AREA",,"DOCUMENT TYPE",,"PUBLICATION STAGE",,"SOURCE TITLE",,"KEYWORD",,"AFFILIATION",,"FUNDING SPONSOR",,"COUNTRY",,"SOURCE TYPE",,"LANGUAGE",
,,"1985","113","Abbaneo, D.","1315",,,,,,,"Asian Journal Of Chemistry","1353","Risk Factor","15267","Baqiyatallah University of Medical Sciences","7896","Ministério da Educação e Ciência","1746","Romania","2549",,,,
,,"1984","110","Alexander, J.","1315",,,,,,,"Optik","1324","Case Report","15143","Babol Noshirvani University of Technology","7850","Natural Sciences and Engineering Research Council of Canada","1700","Serbia","2468",,,,
,,"1983","119","Bainbridge, R.","1315",,,,,,,"Journal Of Education And Health Promotion","1311","X Ray Diffraction","15110","Iranian Academic Center for Education, Culture and Research","7602","Bu-Ali Sina University","1696","Colombia","2433",,,,
,,"1982","126","Daskalakis, G.","1315",,,,,,,"Koomesh","1309","Nanocomposites","14913","Iranian Research Institute for Fundamental Sciences","7265","Payame Noor University","1629","Qatar","2385",,,,
,,"1981","200","Denegri, D.","1315",,,,,,,"Comparative Clinical Pathology","1294","Pathology","13281","University of Mohaghegh Ardabili","7171","Ministerio de Economía y Competitividad","1552","Croatia","2146",,,,
,,"1980","270","Dierlamm, A.","1315",,,,,,,"Journal Of Agricultural Science And Technology","1293","Polymerase Chain Reaction","13164","University of Zanjan","7051","University of Isfahan","1531","Lithuania","2098",,,,
,,"1979","414","Ganjour, S.","1315",,,,,,,"Journal Of Babol University Of Medical Sciences","1280","Human Tissue","12667","SBUMS School of Medicine","7022","Urmia University","1490","United Arab Emirates","2040",,,,
,,"1978","497","Gennai, S.","1315",,,,,,,"Journal Of Food Science And Technology Iran","1280","Mouse","12524","Pasteur Institute of Iran","6939","Iran University of Science and Technology","1455","Cyprus","2021",,,,
,,"1977","422","Grab, C.","1315",,,,,,,"International Journal Of Advanced Manufacturing Technology","1276","Physiology","12492","School of Medicine, Isfahan UMS","6787","University of Guilan","1454","Georgia","2005",,,,
,,"1976","389","Green, D.","1315",,,,,,,"International Journal Of Environmental Science And Technology","1265","Adsorption","12372","Shahid Sadoughi University of Medical Sciences","6640","Alexander von Humboldt-Stiftung","1337","Ukraine","1979",,,,
,,"1975","337","Hadjiiska, R.","1315",,,,,,,"Iranian Journal Of Medical Sciences","1265","Particle Size","12353","School of Medicine","6328","Amirkabir University of Technology","1311","Estonia","1938",,,,
,,"1974","305","Harder, K.","1315",,,,,,,"Journal Of Thermal Analysis And Calorimetry","1228","Treatment Outcome","11988","Shahrekord University","6144","Science and Technology Facilities Council","1277","Bulgaria","1885",,,,
,,"1973","282","Kaestli, H.C.","1315",,,,,,,"Applied Thermal Engineering","1215","Protein Expression","11608","University of Kurdistan","6051","Conselho Nacional de Desenvolvimento Científico e Tecnológico","1239","Armenia","1832",,,,
,,"1972","140","Kyriakis, A.","1315",,,,,,,"Research On Chemical Intermediates","1212","Synthesis (chemical)","11581","School of Medicine IUMS","5995","Ministry of Health and Medical Education","1238","Kuwait","1683",,,,
,,"1971","102","Merkel, P.","1315",,,,,,,"International Journal Of Electrical Power And Energy Systems","1203","In Vitro Study","11537","Islamic Azad University, Central Tehran Branch","5823","Ministry of Science, ICT and Future Planning","1233","Singapore","1681",,,,
