Scopus refine results values

"Your query : (PUBYEAR > 1 AND DOCTYPE(ar) AND ( LIMIT-TO ( SUBJAREA,""MEDI"" ) OR LIMIT-TO ( SUBJAREA,""BIOC"" ) OR LIMIT-TO ( SUBJAREA,""IMMU"" ) OR LIMIT-TO ( SUBJAREA,""PHAR"" ) OR LIMIT-TO ( SUBJAREA,""AGRI"" ) OR LIMIT-TO ( SUBJAREA,""NEUR"" ) ) )"


Number of results : 35718543

"OPEN ACCESS",,"YEAR",,"AUTHOR NAME",,"SUBJECT AREA",,"DOCUMENT TYPE",,"PUBLICATION STAGE",,"SOURCE TITLE",,"KEYWORD",,"AFFILIATION",,"FUNDING SPONSOR",,"COUNTRY",,"SOURCE TYPE",,"LANGUAGE",
,,"1978","328903","Tuomilehto, J.","1266",,,,,,,"European Journal Of Pharmacology","35698","Therapy","919456","Stanford University School of Medicine","90641","Fundação para a Ciência e a Tecnologia","58663","Ukraine","76368",,,"Vietnamese","22"
,,"1977","316613","Sørensen, H.T.","1264",,,,,,,"Journal Of Clinical Endocrinology And Metabolism","35671","Gene Expression","917484","Baylor College of Medicine","90634","U.S. Department of Defense","58095","Slovakia","59905",,,"Belarusian","20"
,,"1976","308067","Baba, H.","1262",,,,,,,"Journal Of Dairy Science","34629","Middle Age","890390","Stanford University","90629","Bundesministerium für Bildung und Forschung","56910","Croatia","59103",,,"Esperanto","13"
,,"1975","308806","Colombo, A.","1259",,,,,,,"BMJ Open","34235","Time Factors","889148","Université McGill","90408","Australian Research Council","56735","Iraq","56779",,,"Latin","12"
,,"1974","310850","Haverich, A.","1256",,,,,,,"Neurology","33935","Blood","880701","King's College London","89268","National Institute of Child Health and Human Development","56654","Bulgaria","56128",,,"Basque","10"
,,"1973","292001","Kyle, R.A.","1237",,,,,,,"Medicine United States","33902","Infant","850883","The Ohio State University","88247","National Institute of Arthritis and Musculoskeletal and Skin Diseases","55822","Serbia","54124",,,"Bengali","8"
,,"1972","237125","Braunwald, E.","1226",,,,,,,"Applied And Environmental Microbiology","33798","Clinical Trial","823261","Université Paris Cité","87773","Ministry of Finance","55756","Tunisia","49260",,,"Hindi","5"
,,"1971","226043","Mehran, R.","1222",,,,,,,"Nederlands Tijdschrift Voor Geneeskunde","33644","Cohort Analysis","821387","University of Pittsburgh","87409","Biotechnology and Biological Sciences Research Council","55415","Kenya","45254",,,"Tagalog","4"
,,"1970","220158","Nakamura, Y.","1217",,,,,,,"Journal Of Medicinal Chemistry","33049","Pregnancy","818731","University of Michigan Medical School","87309","U.S. Department of Energy","54274","Ethiopia","44311",,,"Irish Gaelic","1"
,,"1969","218208","Fonarow, G.C.","1214",,,,,,,"Radiology","32943","Aged, 80 And Over","812446","Chinese Academy of Medical Sciences &amp; Peking Union Medical College","85760","Ministério da Educação e Ciência","50399","Bangladesh","44135",,,"Kazakh","1"
,,"1968","210630","Garschagen, H.","1210",,,,,,,"Chemosphere","32354","Support, Non-U.S. Gov't","796332","David Geffen School of Medicine at UCLA","83010","Vetenskapsrådet","48596","Slovenia","42190",,,"Mongolian","1"
,,"1967","195452","Zheng, W.","1209",,,,,,,"FASEB Journal","32305","Pathophysiology","794805","Consiglio Nazionale delle Ricerche","82877","Ministry of Education","44022","Viet Nam","41830",,,"Pushto","1"
,,"1966","183032","Starzl, T.E.","1205",,,,,,,"Investigative Ophthalmology And Visual Science","31815","English Abstract","759451","Fudan University","82392","Guangdong Provincial Department of Science and Technology","43783","Morocco","39668",,,"Scottish Gaelic","1"
,,"1965","179162","Grobbee, D.E.","1197",,,,,,,"Journal Of Pediatrics","31742","Child, Preschool","751628","Cornell University","80989","National Institute on Alcohol Abuse and Alcoholism","43396","Cuba","34558",,,"Welsh","1"
,,"1964","168043","Debus, J.","1192",,,,,,,"Journal Of Molecular Biology","31573","Preschool Child","721044","Helsingin Yliopisto","80742","Ministry of Science, ICT and Future Planning","42641","Peru","32520",,,"Undefined","285954"
,,"1963","155007","Katus, H.A.","1192",,,,,,,"Infection And Immunity","31376","Risk Factors","712330","University of Alberta","79978","Department of Science and Technology, Ministry of Science and Technology, India","42348","Philippines","31358",,,,
,,"1962","137095","Balzarini, J.","1188",,,,,,,"Zootaxa","31328","Immunohistochemistry","701621","The University of Texas MD Anderson Cancer Center","79584","Ministry of Science and Technology, Taiwan","41185","United Arab Emirates","31027",,,,
,,"1961","132339","Bennett, D.A.","1188",,,,,,,"Phytochemistry","31250","Nuclear Magnetic Resonance Imaging","692972","Monash University","78712","American Heart Association","40944","Jordan","29285",,,,
,,"1960","124084","Erbel, R.","1188",,,,,,,"Life Sciences","31102","Drug Efficacy","690134","Consejo Superior de Investigaciones Científicas","78347","Agence Nationale de la Recherche","40213","Venezuela","26688",,,,
